stdgCd,lclgvNm,rteId,vhclNo,gthrDt,rteNo,lat,lot,oprDrct,oprSpd,evtCd,evtType,totDt
4686000000,전라남도 함평군,10,251016,2026-04-04 00:00:00,100,35.0621109000,126.5234756500,52,49,,GPS,2026-04-04 08:19:01
4686000000,전라남도 함평군,10,251032,2026-04-01 00:00:00,100,35.0622253400,126.5232162500,315,31,,GPS,2026-04-01 11:09:01
4686000000,전라남도 함평군,10,252000,2026-03-31 00:00:00,100,35.0629539500,126.5225906400,325,23,,GPS,2026-03-31 11:12:00
4686000000,전라남도 함평군,10,252001,2026-04-03 00:00:00,100,35.0609817500,126.5237503100,338,47,,GPS,2026-04-03 08:19:02
4686000000,전라남도 함평군,10,252002,2026-03-30 00:00:00,100,35.0626411400,126.5223617600,85,32,,GPS,2026-03-30 11:09:01
4686000000,전라남도 함평군,10,252005,2026-04-06 00:00:00,100,35.0620842000,126.5238571200,160,47,,GPS,2026-04-06 08:21:01
4686000000,전라남도 함평군,10,252006,2026-04-06 00:00:00,100,35.0621032700,126.5235061600,269,42,,GPS,2026-04-06 14:45:01
4686000000,전라남도 함평군,10,252007,2026-04-06 00:00:00,100,35.0642700200,126.5215988200,334,37,,GPS,2026-04-06 11:12:01
4686000000,전라남도 함평군,10,252008,2026-03-24 00:00:00,100,35.0620803800,126.5235290500,243,33,,,2026-03-24 14:45:04
4686000000,전라남도 함평군,100,251000,2026-03-18 00:00:00,500,35.2307243300,126.6466903700,357,36,,,2026-03-18 09:09:02
4686000000,전라남도 함평군,100,251012,2026-03-16 00:00:00,500,35.2335128800,126.6474380500,11,39,,,2026-03-16 09:21:01
4686000000,전라남도 함평군,100,251025,2026-03-19 00:00:00,500,35.1615371700,126.8820190400,127,27,,,2026-03-19 10:51:01
4686000000,전라남도 함평군,100,251027,2026-03-30 00:00:00,500,35.2318649300,126.6467056300,189,37,,GPS,2026-03-30 09:25:02
4686000000,전라남도 함평군,100,251038,2026-03-29 00:00:00,500,35.2351036100,126.6476287800,0,18,,GPS,2026-03-29 09:01:01
4686000000,전라남도 함평군,100,251039,2026-03-26 00:00:00,500,35.2341995200,126.6474456800,149,15,,,2026-03-26 09:19:01
4686000000,전라남도 함평군,100,251040,2026-04-06 00:00:00,500,35.2350959800,126.6475601200,11,0,,GPS,2026-04-06 09:17:00
4686000000,전라남도 함평군,100,251045,2026-03-20 00:00:00,500,35.2317161600,126.6469345100,13,42,,,2026-03-20 09:04:01
